ATMVolatility,OptionPrice
0.1,6.16619
0.11,6.19522
0.12,6.23265
0.13,6.27816
0.14,6.33121
0.15,6.39121
0.16,6.45749
0.17,6.52944
0.18,6.60648
0.19,6.68808
0.2,6.77375
0.21,6.86308
0.22,6.95569
0.23,7.05123
0.24,7.14942
0.25,7.24999
0.26,7.35272
0.27,7.45738
0.28,7.5638
0.29,7.67181
0.3,7.78126
0.31,7.89201
0.32,8.00393
0.33,8.1169
0.34,8.23081
0.35,8.34555
0.36,8.46101
0.37,8.57709
0.38,8.69368
0.39,8.81068
0.4,8.92799
0.41,9.04551
0.42,9.16314
0.43,9.28077
0.44,9.3983
0.45,9.51564
0.46,9.63268
0.47,9.74932
0.48,9.86547
0.49,9.98102
